date,portfolio_value,cash,n_positions,regime
2018-01-01,100000.0,100000.0,0,0
2018-01-02,100000.0,100000.0,0,0
2018-01-03,100000.0,100000.0,0,0
2018-01-04,100000.0,100000.0,0,0
2018-01-05,100000.0,100000.0,0,0
2018-01-08,100000.0,100000.0,0,0
2018-01-09,100000.0,100000.0,0,0
2018-01-10,100000.0,100000.0,0,0
2018-01-11,100000.0,100000.0,0,0
2018-01-12,100000.0,100000.0,0,0
2018-01-15,100000.0,100000.0,0,0
2018-01-16,100000.0,100000.0,0,0
2018-01-17,100000.0,100000.0,0,0
2018-01-18,100000.0,100000.0,0,0
2018-01-19,100000.0,100000.0,0,0
2018-01-22,100000.0,100000.0,0,0
2018-01-23,100000.0,100000.0,0,0
2018-01-24,100000.0,100000.0,0,0
2018-01-25,100000.0,100000.0,0,0
2018-01-26,100000.0,100000.0,0,0
2018-01-29,100000.0,100000.0,0,0
2018-01-30,100000.0,100000.0,0,0
2018-01-31,100000.0,100000.0,0,0
2018-02-01,100000.0,100000.0,0,0
2018-02-02,100000.0,100000.0,0,0
2018-02-05,100000.0,100000.0,0,0
2018-02-06,100000.0,100000.0,0,0
2018-02-07,100000.0,100000.0,0,0
2018-02-08,100000.0,100000.0,0,0
2018-02-09,100000.0,100000.0,0,0
2018-02-12,100000.0,100000.0,0,0
2018-02-13,100000.0,100000.0,0,0
2018-02-14,100000.0,100000.0,0,0
2018-02-15,100000.0,100000.0,0,0
2018-02-16,100000.0,100000.0,0,0
2018-02-19,100000.0,100000.0,0,0
2018-02-20,100000.0,100000.0,0,0
2018-02-21,100000.0,100000.0,0,0
2018-02-22,100000.0,100000.0,0,0
2018-02-23,100000.0,100000.0,0,0
2018-02-26,100000.0,100000.0,0,0
2018-02-27,100000.0,100000.0,0,0
2018-02-28,100000.0,100000.0,0,0
2018-03-01,100000.0,100000.0,0,0
2018-03-02,100000.0,100000.0,0,0
2018-03-05,100000.0,100000.0,0,0
2018-03-06,100000.0,100000.0,0,0
2018-03-07,100000.0,100000.0,0,0
2018-03-08,100000.0,100000.0,0,0
2018-03-09,100000.0,100000.0,0,0
2018-03-12,100000.0,100000.0,0,0
2018-03-13,100000.0,100000.0,0,0
2018-03-14,100000.0,100000.0,0,0
2018-03-15,100000.0,100000.0,0,0
2018-03-16,100000.0,100000.0,0,0
2018-03-19,100000.0,100000.0,0,0
2018-03-20,100000.0,100000.0,0,0
2018-03-21,100000.0,100000.0,0,0
2018-03-22,100000.0,100000.0,0,0
2018-03-23,100000.0,100000.0,0,0
2018-03-26,99927.19365006889,27120.84371894801,17,2
2018-03-27,99553.70726757622,32881.6770208416,16,2
2018-03-28,99670.37474423027,32881.6770208416,16,2
2018-03-29,99670.37474423027,32881.6770208416,16,2
2018-03-30,99670.37474423027,32881.6770208416,16,2
2018-04-02,100762.43293608665,4591.534822835921,43,2
2018-04-03,100813.54931773186,4591.534822835921,43,2
2018-04-04,100151.58903127098,5049.929058126449,42,2
2018-04-05,101167.9342957058,5049.929058126449,42,2
2018-04-06,101845.27313905144,5049.929058126449,42,2
2018-04-09,101813.7671202273,3332.777501419273,69,2
2018-04-10,101559.65802315282,4157.798814092156,67,2
2018-04-11,101823.99418667363,4157.798814092156,67,2
2018-04-12,101677.87691554021,6953.288581456658,65,2
2018-04-13,102131.61490272665,7858.113430253503,63,2
2018-04-16,102750.57627390433,6043.151041017056,76,2
2018-04-17,103634.68707295752,6526.447903836727,75,2
2018-04-18,103692.41922965765,6992.658945233822,73,2
2018-04-19,104566.01292434454,6992.658945233822,73,2
2018-04-20,104709.16873560857,7190.460945233822,72,2
2018-04-23,104645.16428031301,3439.7431510863307,87,2
2018-04-24,104425.52387319326,5098.143530709744,84,2
2018-04-25,104471.43206355428,5550.449926827908,82,2
2018-04-26,104984.84519289542,7067.2035665373805,80,2
2018-04-27,105267.7863371749,7382.83009842825,79,2
2018-04-30,105965.15276143026,5382.729097337247,95,2
2018-05-01,105965.15276143026,5382.729097337247,95,2
2018-05-02,105191.7542387557,5547.4995714736,94,2
2018-05-03,104030.21107648611,7403.725136506559,89,2
2018-05-04,103830.59441049337,8300.504080369474,86,2
2018-05-07,104655.75811388636,15706.378489519595,71,2
2018-05-08,104841.32112286615,16042.028922777652,70,2
