date,symbol,action,shares,price,value,pnl,reason
2018-03-26,BAFNAPH,BUY,149,26.200000762939453,3903.8001136779785,,
2018-03-26,BATAINDIA,BUY,2,690.4063110351562,1380.8126220703125,,
2018-03-26,BRITANNIA,BUY,4,2149.209716796875,8596.8388671875,,
2018-03-26,BYKE,BUY,34,167.54212951660156,5696.432403564453,,
2018-03-26,CROMPTON,BUY,6,219.61138916015625,1317.6683349609375,,
2018-03-26,CYIENT,BUY,14,542.357177734375,7593.00048828125,,
2018-03-26,EXIDEIND,BUY,27,206.2938537597656,5569.934051513671,,
2018-03-26,FCSSOFT,BUY,16476,0.4000000059604645,6590.400098204613,,
2018-03-26,GODREJCP,BUY,8,685.9507446289062,5487.60595703125,,
2018-03-26,JUBLFOOD,BUY,23,229.88775634765625,5287.418395996094,,
2018-03-26,LICHSGFIN,BUY,1,470.46044921875,470.46044921875,,
2018-03-26,LTTS,BUY,4,1130.0142822265625,4520.05712890625,,
2018-03-26,MARICO,BUY,14,294.0909118652344,4117.272766113281,,
2018-03-26,RADICO,BUY,11,340.1225280761719,3741.3478088378906,,
2018-03-26,SRF,BUY,7,373.6460571289063,2615.522399902344,,
2018-03-26,SYNGENE,BUY,11,288.9897766113281,3178.8875427246094,,
2018-03-26,TITAN,BUY,3,912.9635009765624,2738.890502929687,,
2018-03-27,FCSSOFT,SELL,16476,0.3499999940395355,5766.599901795387,-823.8001964092255,stop_loss
2018-04-02,AARTIIND,BUY,5,274.28936767578125,1371.4468383789062,,
2018-04-02,APLAPOLLO,BUY,2,198.00225830078125,396.0045166015625,,
2018-04-02,APLLTD,BUY,6,492.8130493164063,2956.878295898438,,
2018-04-02,APOLLOTYRE,BUY,9,245.3051605224609,2207.746444702148,,
2018-04-02,ASHOKLEY,BUY,40,63.36239242553711,2534.4956970214844,,
2018-04-02,ASTRAL,BUY,5,410.190185546875,2050.950927734375,,
2018-04-02,AYMSYNTEX,BUY,12,61.70000076293945,740.4000091552734,,
2018-04-02,BAJFINANCE,BUY,7,177.11947631835938,1239.8363342285156,,
2018-04-02,BERGEPAINT,BUY,5,209.8609161376953,1049.3045806884766,,
2018-04-02,BHARATRAS,BUY,1,1117.169189453125,1117.169189453125,,
2018-04-02,BIOCON,BUY,5,295.1645202636719,1475.8226013183594,,
2018-04-02,BRNL,BUY,7,184.4403076171875,1291.0821533203125,,
2018-04-02,CASTROLIND,BUY,10,139.82249450683594,1398.2249450683594,,
2018-04-02,COALINDIA,BUY,9,144.7785186767578,1303.0066680908203,,
2018-04-02,DENORA,BUY,2,430.7968444824219,861.5936889648438,,
2018-04-02,HDFCLIFE,BUY,2,473.2578125,946.515625,,
2018-04-02,IEX,BUY,12,47.5142822265625,570.17138671875,,
2018-04-02,INDHOTEL,BUY,5,128.89060974121094,644.4530487060547,,
2018-04-02,IRB,BUY,27,10.608436584472656,286.4277877807617,,
2018-04-02,JKTYRE,BUY,5,144.79873657226562,723.9936828613281,,
2018-04-02,KEC,BUY,2,372.1735229492188,744.3470458984376,,
2018-04-02,KOTAKBANK,BUY,3,218.16856384277344,654.5056915283203,,
2018-04-02,MANAPPURAM,BUY,2,96.97351837158205,193.9470367431641,,
2018-04-02,MASFIN,BUY,1,191.997314453125,191.997314453125,,
2018-04-02,NESTLEIND,BUY,1,374.26171875,374.26171875,,
2018-04-02,PIDILITIND,BUY,1,452.7124938964844,452.7124938964844,,
2018-04-02,TECHM,BUY,1,484.5845947265625,484.5845947265625,,
2018-04-04,TECHM,SELL,1,458.8530883789063,458.8530883789063,-25.731506347656193,stop_loss
2018-04-09,ADANIENT,BUY,1,92.96259307861328,92.96259307861328,,
2018-04-09,AGROPHOS,BUY,12,35.72858810424805,428.74305725097656,,
2018-04-09,ARMANFIN,BUY,1,335.9504089355469,335.9504089355469,,
2018-04-09,BANCOINDIA,BUY,1,66.22722625732422,66.22722625732422,,
2018-04-09,BANKBARODA,BUY,1,135.90286254882812,135.90286254882812,,
2018-04-09,BHAGERIA,BUY,2,138.76719665527344,277.5343933105469,,
2018-04-09,BRNL,SELL,7,186.81317138671875,1307.6921997070312,16.61004638671875,signal
2018-04-09,CENTURYPLY,BUY,1,347.65838623046875,347.65838623046875,,
2018-04-09,CHOLAFIN,BUY,1,300.04510498046875,300.04510498046875,,
2018-04-09,CYIENT,SELL,14,517.009521484375,7238.13330078125,-354.8671875,signal
2018-04-09,DELTACORP,BUY,1,262.6179504394531,262.6179504394531,,
2018-04-09,DIVISLAB,BUY,1,1068.186279296875,1068.186279296875,,
2018-04-09,EDELWEISS,BUY,3,119.72283935546876,359.1685180664063,,
2018-04-09,ELECTHERM,BUY,3,164.14999389648438,492.4499816894531,,
2018-04-09,ELGIEQUIP,BUY,2,136.1812744140625,272.362548828125,,
2018-04-09,ESCORTS,BUY,1,868.0391235351562,868.0391235351562,,
2018-04-09,ESTER,BUY,11,69.38727569580078,763.2600326538086,,
2018-04-09,FCSSOFT,BUY,1877,0.4000000059604645,750.8000111877918,,
2018-04-09,FORTIS,BUY,3,140.91224670410156,422.7367401123047,,
2018-04-09,ICICIPRULI,BUY,1,390.158203125,390.158203125,,
2018-04-09,INTELLECT,BUY,2,170.6608428955078,341.3216857910156,,
2018-04-09,IPCALAB,BUY,1,327.17510986328125,327.17510986328125,,
2018-04-09,ITC,BUY,1,186.0958404541016,186.0958404541016,,
2018-04-09,JSWSTEEL,BUY,1,282.4190979003906,282.4190979003906,,
2018-04-09,NCC,BUY,2,116.4264144897461,232.8528289794922,,
2018-04-09,PETRONET,BUY,1,167.97030639648438,167.97030639648438,,
2018-04-09,POONAWALLA,BUY,1,156.5005340576172,156.5005340576172,,
2018-04-09,SJVN,BUY,9,22.649873733520508,203.84886360168457,,
2018-04-09,TANLA,BUY,5,35.74494934082031,178.72474670410156,,
2018-04-09,TRENT,BUY,1,362.566650390625,362.566650390625,,
2018-04-09,ZENSARTECH,BUY,1,169.907958984375,169.907958984375,,
2018-04-10,FCSSOFT,SELL,1877,0.3499999940395355,656.9499888122082,-93.85002237558365,stop_loss
2018-04-10,TANLA,SELL,5,33.77943420410156,168.8971710205078,-9.82757568359375,stop_loss
2018-04-12,APLLTD,SELL,6,452.0510559082031,2712.3063354492188,-244.5719604492191,stop_loss
2018-04-12,ADANIENT,SELL,1,85.98171997070312,85.98171997070312,-6.980873107910156,stop_loss
2018-04-13,ESTER,SELL,11,64.75846862792969,712.3431549072266,-50.91687774658203,stop_loss
2018-04-13,SJVN,SELL,9,21.487491607666016,193.38742446899414,-10.46143913269043,stop_loss
2018-04-16,LTTS,SELL,4,1069.8568115234375,4279.42724609375,-240.6298828125,stop_loss
2018-04-16,CENTURYPLY,SELL,1,329.1736755371094,329.1736755371094,-18.484710693359375,stop_loss
2018-04-16,ELECTHERM,SELL,3,155.25,465.75,-26.699981689453125,stop_loss
2018-04-16,ARVIND,BUY,3,143.88369750976562,431.6510925292969,,
2018-04-16,AUROPHARMA,BUY,1,597.9088745117188,597.9088745117188,,
2018-04-16,AXISCADES,BUY,1,171.5,171.5,,
2018-04-16,BBL,BUY,1,765.6852416992188,765.6852416992188,,
2018-04-16,BHARATFORG,BUY,1,695.0083618164062,695.0083618164062,,
2018-04-16,BSOFT,BUY,8,125.57866668701172,1004.6293334960938,,
2018-04-16,CHAMBLFERT,BUY,6,148.16064453125,888.9638671875,,
2018-04-16,COFORGE,BUY,5,165.7727813720703,828.8639068603516,,
2018-04-16,COMPUSOFT,BUY,38,13.515860557556152,513.6027011871338,,
2018-04-16,CROMPTON,SELL,6,210.94683837890625,1265.6810302734375,-51.9873046875,signal
2018-04-16,CUBEXTUB,BUY,9,24.100000381469727,216.90000343322754,,
2018-04-16,DISHTV,BUY,10,79.66604614257812,796.6604614257812,,
2018-04-16,ELGIEQUIP,SELL,2,134.469970703125,268.93994140625,-3.422607421875,signal
2018-04-16,FOCUS,BUY,55,11.95809555053711,657.695255279541,,
2018-04-16,HCLTECH,BUY,1,388.614990234375,388.614990234375,,
2018-04-16,ICICIPRULI,SELL,1,379.2514953613281,379.2514953613281,-10.906707763671875,signal
2018-04-16,MARICO,SELL,14,284.678955078125,3985.50537109375,-131.76739501953125,signal
2018-04-16,MASFIN,SELL,1,191.91786193847656,191.91786193847656,-0.0794525146484375,signal
2018-04-16,MUTHOOTFIN,BUY,2,387.6145324707031,775.2290649414062,,
2018-04-16,M_M,BUY,1,744.7940673828125,744.7940673828125,,
2018-04-16,NTPC,BUY,8,106.38186645507812,851.054931640625,,
2018-04-16,POWERGRID,BUY,11,73.82740783691406,812.1014862060547,,
2018-04-16,SBILIFE,BUY,1,698.0274658203125,698.0274658203125,,
2018-04-16,TATAPOWER,BUY,3,78.71703338623047,236.1511001586914,,
2018-04-16,TECHM,BUY,1,506.0779113769531,506.0779113769531,,
2018-04-16,VIPIND,BUY,1,375.3667602539063,375.3667602539063,,
2018-04-17,COMPUSOFT,SELL,38,12.731069564819336,483.78064346313477,-29.822057723999023,stop_loss
2018-04-18,BANKBARODA,SELL,1,125.57496643066406,125.57496643066406,-10.327896118164062,stop_loss
2018-04-18,TRENT,SELL,1,341.1027526855469,341.1027526855469,-21.463897705078125,stop_loss
2018-04-20,CUBEXTUB,SELL,9,22.0,198.0,-18.90000343322754,stop_loss
2018-04-23,AMBUJACEM,BUY,1,219.7354431152344,219.7354431152344,,
2018-04-23,AMJLAND,BUY,19,24.18197250366211,459.4574775695801,,
2018-04-23,APTECHT,BUY,1,175.790771484375,175.790771484375,,
2018-04-23,CAPACITE,BUY,1,358.3883972167969,358.3883972167969,,
2018-04-23,CENTURYPLY,BUY,1,343.8641357421875,343.8641357421875,,
2018-04-23,COCHINSHIP,BUY,1,209.3358459472656,209.3358459472656,,
2018-04-23,DABUR,BUY,1,328.19500732421875,328.19500732421875,,
2018-04-23,EIHOTEL,BUY,1,183.5992889404297,183.5992889404297,,
2018-04-23,HINDALCO,BUY,1,242.48049926757807,242.48049926757807,,
2018-04-23,JSL,BUY,2,103.83731842041016,207.6746368408203,,
2018-04-23,OIL,BUY,2,101.68599700927734,203.3719940185547,,
2018-04-23,PCBL,BUY,3,100.8322525024414,302.4967575073242,,
2018-04-23,PHOENIXLTD,BUY,1,299.9865417480469,299.9865417480469,,
2018-04-23,PRSMJOHNSN,BUY,1,119.33358001708984,119.33358001708984,,
2018-04-23,TATAINVEST,BUY,1,71.93814086914062,71.93814086914062,,
2018-04-23,TATAPOWER,SELL,3,76.5653076171875,229.6959228515625,-6.455177307128906,signal
2018-04-23,VAIBHAVGBL,BUY,2,125.27964782714844,250.55929565429688,,
2018-04-24,JKTYRE,SELL,5,137.2491455078125,686.2457275390625,-37.747955322265625,stop_loss
2018-04-24,DISHTV,SELL,10,74.92166900634766,749.2166900634766,-47.44377136230469,stop_loss
2018-04-24,HINDALCO,SELL,1,224.5980224609375,224.5980224609375,-17.882476806640568,stop_loss
2018-04-25,EIHOTEL,SELL,1,172.965576171875,172.965576171875,-10.633712768554688,stop_loss
2018-04-25,PCBL,SELL,3,93.2645263671875,279.7935791015625,-22.70317840576172,stop_loss
2018-04-26,CASTROLIND,SELL,10,132.8985137939453,1328.9851379394531,-69.23980712890625,stop_loss
2018-04-26,JSL,SELL,2,94.64338684082033,189.28677368164065,-18.38786315917966,stop_loss
2018-04-27,CENTURYPLY,SELL,1,315.9424743652344,315.9424743652344,-27.921661376953125,stop_loss
2018-04-30,PETRONET,SELL,1,159.22950744628906,159.22950744628906,-8.740798950195312,stop_loss
2018-04-30,ADANIPORTS,BUY,1,388.8854370117188,388.8854370117188,,
2018-04-30,ADVENZYMES,BUY,2,245.3209991455078,490.6419982910156,,
2018-04-30,ASAHIINDIA,BUY,1,352.6658630371094,352.6658630371094,,
2018-04-30,AUBANK,BUY,1,358.4447937011719,358.4447937011719,,
2018-04-30,BHARTIARTL,BUY,1,354.1693420410156,354.1693420410156,,
2018-04-30,BLKASHYAP,BUY,9,50.400001525878906,453.60001373291016,,
2018-04-30,BRIGADE,BUY,1,180.7657623291016,180.7657623291016,,
2018-04-30,CARBORUNIV,BUY,1,361.7623596191406,361.7623596191406,,
2018-04-30,CESC,BUY,6,68.73316955566406,412.3990173339844,,
2018-04-30,COFFEEDAY,BUY,1,345.20001220703125,345.20001220703125,,
2018-04-30,DEEPAKNTR,BUY,1,258.7380676269531,258.7380676269531,,
2018-04-30,DELTACORP,SELL,1,253.1600799560547,253.1600799560547,-9.457870483398438,signal
2018-04-30,DLF,BUY,1,209.9656524658203,209.9656524658203,,
2018-04-30,ENGINERSIN,BUY,1,121.9378662109375,121.9378662109375,,
2018-04-30,KEC,SELL,2,381.7610168457031,763.5220336914062,19.174987792968636,signal
2018-04-30,KPRMILL,BUY,1,134.89773559570312,134.89773559570312,,
2018-04-30,MARICO,BUY,1,296.6781005859375,296.6781005859375,,
2018-04-30,MASFIN,BUY,1,198.9423370361328,198.9423370361328,,
2018-04-30,SYNGENE,SELL,11,308.7835693359375,3396.6192626953125,217.73171997070312,signal
2018-04-30,TATACONSUM,BUY,2,278.5437316894531,557.0874633789062,,
2018-04-30,TRENT,BUY,1,347.1224975585937,347.1224975585937,,
2018-04-30,YESBANK,BUY,1,354.2880249023437,354.2880249023437,,
2018-04-30,ZYDUSLIFE,BUY,1,383.3055114746094,383.3055114746094,,
2018-05-02,APTECHT,SELL,1,164.93540954589844,164.93540954589844,-10.855361938476562,stop_loss
2018-05-03,HCLTECH,SELL,1,359.7770080566406,359.7770080566406,-28.837982177734375,stop_loss
2018-05-03,CAPACITE,SELL,1,339.99041748046875,339.99041748046875,-18.397979736328125,stop_loss
2018-05-03,ADVENZYMES,SELL,2,228.4411163330078,456.8822326660156,-33.759765625,stop_loss
2018-05-03,BLKASHYAP,SELL,9,47.0,423.0,-30.600013732910156,stop_loss
2018-05-03,MARICO,SELL,1,278.4339904785156,278.4339904785156,-18.244110107421875,stop_loss
2018-05-04,AUBANK,SELL,1,336.8442687988281,336.8442687988281,-21.60052490234375,stop_loss
2018-05-04,DLF,SELL,1,198.8603363037109,198.8603363037109,-11.105316162109403,stop_loss
2018-05-04,ZYDUSLIFE,SELL,1,361.9720153808594,361.9720153808594,-21.33349609375,stop_loss
2018-05-07,LICHSGFIN,SELL,1,446.2067565917969,446.2067565917969,-24.253692626953125,stop_loss
2018-05-07,AMBUJACEM,SELL,1,208.7752685546875,208.7752685546875,-10.960174560546903,stop_loss
2018-05-07,BRIGADE,SELL,1,170.59490966796875,170.59490966796875,-10.170852661132841,stop_loss
2018-05-07,DEEPAKNTR,SELL,1,244.08071899414065,244.08071899414065,-14.657348632812472,stop_loss
2018-05-07,AMJLAND,SELL,19,23.99414825439453,455.8888168334961,-3.5686607360839844,signal
2018-05-07,ARMANFIN,SELL,1,419.4410705566406,419.4410705566406,83.49066162109375,signal
2018-05-07,AXISCADES,SELL,1,164.35000610351562,164.35000610351562,-7.149993896484375,signal
2018-05-07,AYMSYNTEX,SELL,12,66.0999984741211,793.1999816894531,52.79997253417969,signal
2018-05-07,BERGEPAINT,SELL,5,217.82020568847656,1089.1010284423828,39.79644775390625,signal
2018-05-07,BHAGERIA,SELL,2,133.3566436767578,266.7132873535156,-10.82110595703125,signal
2018-05-07,BHARATFORG,SELL,1,700.2481689453125,700.2481689453125,5.23980712890625,signal
2018-05-07,BHARTIARTL,SELL,1,344.3973388671875,344.3973388671875,-9.772003173828125,signal
2018-05-07,BIOCON,SELL,5,308.529541015625,1542.647705078125,66.82510375976562,signal
2018-05-07,BYKE,SELL,34,179.4705352783203,6101.998199462891,405.5657958984375,signal
2018-05-07,CHAMBLFERT,SELL,6,157.14263916015625,942.8558349609375,53.8919677734375,signal
2018-05-07,COALINDIA,SELL,9,139.5091094970703,1255.5819854736328,-47.4246826171875,signal
2018-05-07,COCHINSHIP,SELL,1,202.20155334472656,202.20155334472656,-7.134292602539034,signal
2018-05-07,COFORGE,SELL,5,187.1530914306641,935.7654571533204,106.90155029296889,signal
2018-05-07,CONCOR,BUY,5,490.0676879882813,2450.3384399414067,,
2018-05-07,CROMPTON,BUY,8,233.14682006835932,1865.1745605468745,,
2018-05-07,CROWN,BUY,100,15.794135093688965,1579.4135093688965,,
2018-05-07,CYIENT,BUY,2,669.8312377929688,1339.6624755859375,,
2018-05-07,FEDERALBNK,BUY,18,94.38082885742188,1698.8549194335938,,
2018-05-07,FOCUS,SELL,55,12.630452156066896,694.6748685836793,36.97961330413828,signal
2018-05-07,GRAPHITE,BUY,2,577.4977416992188,1154.9954833984375,,
2018-05-07,HDFCBANK,BUY,3,461.3638305664063,1384.091491699219,,
